,symbol,position,order,close,amount,returns,creturns,strategy,cstrategy,p&l,ptf_value
2024-05-12 22:48:00+02:00,ETH-USD,0.0,0.0,2923.855224609375,0.0,9.043820189815004e-05,96311.1932497221,0.0,100000.0,0.0,100000.0
2024-05-12 22:49:00+02:00,ETH-USD,0.0,0.0,2923.959716796875,0.0,3.573781171533898e-05,96314.63520101253,0.0,100000.0,0.0,100000.0
2024-05-12 22:50:00+02:00,ETH-USD,0.0,0.0,2924.79345703125,0.0,0.00028514080737348244,96342.09843385563,0.0,100000.0,0.0,100000.0
2024-05-12 22:52:00+02:00,ETH-USD,0.0,0.0,2923.52783203125,0.0,-0.0004327228635435495,96300.40900514153,-0.0,100000.0,0.0,100000.0
2024-05-12 22:53:00+02:00,ETH-USD,0.0,0.0,2923.574951171875,0.0,1.6117219787937472e-05,96301.96109999913,0.0,100000.0,0.0,100000.0
2024-05-12 22:55:00+02:00,ETH-USD,0.0,0.0,2923.5439453125,0.0,-1.0605460743386012e-05,96300.93977333118,-0.0,100000.0,0.0,100000.0
2024-05-12 22:56:00+02:00,ETH-USD,0.0,0.0,2923.599609375,0.0,1.9039926726345147e-05,96302.77333616813,0.0,100000.0,0.0,100000.0
2024-05-12 22:58:00+02:00,ETH-USD,0.0,0.0,2922.716064453125,0.0,-0.0003022113284739021,96273.66954710249,-0.0,100000.0,0.0,100000.0
2024-05-12 22:59:00+02:00,ETH-USD,0.0,0.0,2922.800048828125,0.0,2.87350440986865e-05,96276.43597524246,0.0,100000.0,0.0,100000.0
2024-05-12 23:00:00+02:00,ETH-USD,0.0,0.0,2923.135498046875,0.0,0.00011476981426919569,96287.48560391783,0.0,100000.0,0.0,100000.0
2024-05-12 23:02:00+02:00,ETH-USD,0.0,0.0,2921.1728515625,0.0,-0.0006714182376035472,96222.83643003038,-0.0,100000.0,0.0,100000.0
2024-05-12 23:04:00+02:00,ETH-USD,0.0,0.0,2920.975830078125,0.0,-6.744602061792256e-05,96216.34658262061,-0.0,100000.0,0.0,100000.0
2024-05-12 23:05:00+02:00,ETH-USD,0.0,0.0,2921.772216796875,0.0,0.00027264406317552433,96242.57939829679,0.0,100000.0,0.0,100000.0
2024-05-12 23:07:00+02:00,ETH-USD,0.0,0.0,2921.325439453125,0.0,-0.0001529131330572374,96227.86264394749,-0.0,100000.0,0.0,100000.0
2024-05-12 23:08:00+02:00,ETH-USD,0.0,0.0,2921.495361328125,0.0,5.816602036362287e-05,96233.45983576558,0.0,100000.0,0.0,100000.0
2024-05-12 23:09:00+02:00,ETH-USD,0.0,0.0,2920.724365234375,0.0,-0.0002639046099321895,96208.0633820852,-0.0,100000.0,0.0,100000.0
2024-05-12 23:10:00+02:00,ETH-USD,0.0,0.0,2922.530029296875,0.0,0.0006182247404078829,96267.54158709473,0.0,100000.0,0.0,100000.0
2024-05-12 23:11:00+02:00,ETH-USD,0.0,0.0,2923.402099609375,0.0,0.0002983956721600597,96296.2674048738,0.0,100000.0,0.0,100000.0
2024-05-12 23:12:00+02:00,ETH-USD,0.0,0.0,2923.578125,0.0,6.021251426497933e-05,96302.06564524859,0.0,100000.0,0.0,100000.0
2024-05-12 23:13:00+02:00,ETH-USD,0.0,0.0,2922.751953125,0.0,-0.00028258929287206924,96274.85171261578,-0.0,100000.0,0.0,100000.0
2024-05-12 23:14:00+02:00,ETH-USD,0.0,0.0,2922.777099609375,0.0,8.6037011618839e-06,96275.68003266933,0.0,100000.0,0.0,100000.0
2024-05-12 23:15:00+02:00,ETH-USD,0.0,0.0,2922.798828125,0.0,7.434202090848456e-06,96276.39576553112,0.0,100000.0,0.0,100000.0
2024-05-12 23:16:00+02:00,ETH-USD,0.0,0.0,2922.722412109375,0.0,-2.6144808493036628e-05,96273.87863760143,-0.0,100000.0,0.0,100000.0
2024-05-12 23:17:00+02:00,ETH-USD,0.0,0.0,2923.2001953125,0.0,0.00016347197432963753,96289.61671861868,0.0,100000.0,0.0,100000.0
2024-05-12 23:18:00+02:00,ETH-USD,0.0,0.0,2923.998046875,0.0,0.00027293770839896477,96315.89778594847,0.0,100000.0,0.0,100000.0
2024-05-12 23:20:00+02:00,ETH-USD,0.0,0.0,2923.78271484375,0.0,-7.364301473461462e-05,96308.80479286863,-0.0,100000.0,0.0,100000.0
2024-05-12 23:21:00+02:00,ETH-USD,0.0,0.0,2922.67578125,0.0,-0.00037859639436617836,96272.34262662832,-0.0,100000.0,0.0,100000.0
2024-05-12 23:23:00+02:00,ETH-USD,0.0,0.0,2922.60302734375,0.0,-2.4892910365474704e-05,96269.94612783265,-0.0,100000.0,0.0,100000.0
2024-05-12 23:24:00+02:00,ETH-USD,0.0,0.0,2920.947509765625,0.0,-0.0005664531113654669,96215.41371731755,-0.0,100000.0,0.0,100000.0
2024-05-12 23:25:00+02:00,ETH-USD,0.0,0.0,2917.59765625,0.0,-0.001146837971043783,96105.07022746684,-0.0,100000.0,0.0,100000.0
2024-05-12 23:26:00+02:00,ETH-USD,0.0,0.0,2916.65283203125,0.0,-0.0003238363647317932,96073.9479108921,-0.0,100000.0,0.0,100000.0
2024-05-12 23:27:00+02:00,ETH-USD,0.0,0.0,2914.60009765625,0.0,-0.0007037979811846206,96006.33126030797,-0.0,100000.0,0.0,100000.0
2024-05-12 23:29:00+02:00,ETH-USD,0.0,0.0,2917.76806640625,0.0,0.001086930846035274,96110.68350316948,0.0,100000.0,0.0,100000.0
2024-05-12 23:30:00+02:00,ETH-USD,0.0,0.0,2918.417724609375,0.0,0.00022265587542918364,96132.08311154299,0.0,100000.0,0.0,100000.0
2024-05-12 23:32:00+02:00,ETH-USD,0.0,0.0,2917.83154296875,0.0,-0.0002008559760592392,96112.774408159,-0.0,100000.0,0.0,100000.0
2024-05-12 23:33:00+02:00,ETH-USD,0.0,0.0,2921.689208984375,0.0,0.0013221003196435442,96239.84513792586,0.0,100000.0,0.0,100000.0
2024-05-12 23:34:00+02:00,ETH-USD,0.0,0.0,2922.659912109375,0.0,0.0003322403772499237,96271.81990038096,0.0,100000.0,0.0,100000.0
2024-05-12 23:35:00+02:00,ETH-USD,0.0,0.0,2922.708984375,0.0,1.6790275673772462e-05,96273.43633077669,0.0,100000.0,0.0,100000.0
2024-05-12 23:36:00+02:00,ETH-USD,0.0,0.0,2922.876708984375,0.0,5.7386695107746654e-05,96278.96114511439,0.0,100000.0,0.0,100000.0
2024-05-12 23:37:00+02:00,ETH-USD,0.0,0.0,2922.856689453125,0.0,-6.849256141548398e-06,96278.30170584845,-0.0,100000.0,0.0,100000.0
2024-05-12 23:38:00+02:00,ETH-USD,0.0,0.0,2921.08740234375,0.0,-0.0006053280394346117,96220.02175023676,-0.0,100000.0,0.0,100000.0
2024-05-12 23:39:00+02:00,ETH-USD,0.0,0.0,2922.20556640625,0.0,0.0003827903477324352,96256.85384582137,0.0,100000.0,0.0,100000.0
2024-05-12 23:40:00+02:00,ETH-USD,0.0,0.0,2922.75830078125,0.0,0.00018914972353562272,96275.06080311471,0.0,100000.0,0.0,100000.0
2024-05-12 23:41:00+02:00,ETH-USD,0.0,0.0,2925.701171875,0.0,0.0010068814424249086,96371.99837520569,0.0,100000.0,0.0,100000.0
2024-05-12 23:42:00+02:00,ETH-USD,0.0,0.0,2926.284912109375,0.0,0.0001995214822301545,96391.22665916699,0.0,100000.0,0.0,100000.0
2024-05-12 23:43:00+02:00,ETH-USD,0.0,0.0,2926.112548828125,0.0,-5.890174279911594e-05,96385.54904792622,-0.0,100000.0,0.0,100000.0
2024-05-12 23:45:00+02:00,ETH-USD,0.0,0.0,2928.163818359375,0.0,0.000701022088870611,96453.11744685673,0.0,100000.0,0.0,100000.0
2024-05-12 23:46:00+02:00,ETH-USD,0.0,0.0,2928.25927734375,0.0,3.260028819988796e-05,96456.26184628328,0.0,100000.0,0.0,100000.0
2024-05-12 23:48:00+02:00,ETH-USD,0.0,0.0,2928.487548828125,0.0,7.795466956808111e-05,96463.78106230329,0.0,100000.0,0.0,100000.0
2024-05-12 23:49:00+02:00,ETH-USD,0.0,0.0,2930.94140625,0.0,0.0008379265340762487,96544.61062403272,0.0,100000.0,0.0,100000.0
2024-05-12 23:50:00+02:00,ETH-USD,0.0,0.0,2930.419677734375,0.0,-0.00017800714627472775,96527.42499340735,-0.0,100000.0,0.0,100000.0
2024-05-12 23:51:00+02:00,ETH-USD,0.0,0.0,2930.568115234375,0.0,5.065400738598745e-05,96532.3144943059,0.0,100000.0,0.0,100000.0
2024-05-12 23:52:00+02:00,ETH-USD,0.0,0.0,2930.371826171875,0.0,-6.697986696832044e-05,96525.84877272294,-0.0,100000.0,0.0,100000.0
2024-05-12 23:54:00+02:00,ETH-USD,0.0,0.0,2929.356689453125,0.0,-0.0003464190822760317,96492.41037677517,-0.0,100000.0,0.0,100000.0
2024-05-12 23:55:00+02:00,ETH-USD,0.0,0.0,2929.357177734375,0.0,1.6668548823638e-07,96492.42646065971,0.0,100000.0,0.0,100000.0
2024-05-12 23:57:00+02:00,ETH-USD,0.0,0.0,2928.427490234375,0.0,-0.0003173691167012414,96461.80274450555,-0.0,100000.0,0.0,100000.0
2024-05-12 23:58:00+02:00,ETH-USD,0.0,0.0,2927.643798828125,0.0,-0.000267615096792879,96435.98810982726,-0.0,100000.0,0.0,100000.0
2024-05-12 23:59:00+02:00,ETH-USD,0.0,0.0,2928.24365234375,0.0,0.0002048929298930112,96455.74716197822,0.0,100000.0,0.0,100000.0
2024-05-13 00:00:00+02:00,ETH-USD,0.0,0.0,2927.936279296875,0.0,-0.00010496839859243964,96445.62235666359,-0.0,100000.0,0.0,100000.0
2024-05-13 00:01:00+02:00,ETH-USD,0.0,0.0,2927.659912109375,0.0,-9.438975480927057e-05,96436.51887801691,-0.0,100000.0,0.0,100000.0
2024-05-13 00:02:00+02:00,ETH-USD,0.0,0.0,2928.08203125,0.0,0.00014418312006768018,96450.42339619722,0.0,100000.0,0.0,100000.0
2024-05-13 00:03:00+02:00,ETH-USD,0.0,0.0,2927.70751953125,0.0,-0.00012790342440990995,96438.08705675906,-0.0,100000.0,0.0,100000.0
2024-05-13 00:04:00+02:00,ETH-USD,0.0,0.0,2925.91845703125,0.0,-0.0006110796546666122,96379.15570382372,-0.0,100000.0,0.0,100000.0
2024-05-13 00:05:00+02:00,ETH-USD,0.0,0.0,2926.82470703125,0.0,0.0003097318032982766,96409.00739352022,0.0,100000.0,0.0,100000.0
2024-05-13 00:07:00+02:00,ETH-USD,0.0,0.0,2927.1904296875,0.0,0.00012495543561983984,96421.05422303676,0.0,100000.0,0.0,100000.0
2024-05-13 00:08:00+02:00,ETH-USD,0.0,0.0,2927.671142578125,0.0,0.00016422330633142983,96436.88880736122,0.0,100000.0,0.0,100000.0
2024-05-13 00:10:00+02:00,ETH-USD,0.0,0.0,2929.541259765625,0.0,0.00063877296882913,96498.49008512934,0.0,100000.0,0.0,100000.0
2024-05-13 00:11:00+02:00,ETH-USD,0.0,0.0,2930.24658203125,0.0,0.00024076201803740037,96521.7232563398,0.0,100000.0,0.0,100000.0
2024-05-13 00:13:00+02:00,ETH-USD,0.0,0.0,2930.033935546875,0.0,-7.256948465667802e-05,96514.71872462491,-0.0,100000.0,0.0,100000.0
