,symbol,position,order,close
2024-05-10 03:57:00+02:00,ETH-USD,0.0,0.0,3036.019775390625
2024-05-10 03:58:00+02:00,ETH-USD,0.0,0.0,3037.140380859375
2024-05-10 03:59:00+02:00,ETH-USD,0.0,0.0,3037.159423828125
2024-05-10 04:00:00+02:00,ETH-USD,0.0,0.0,3036.697021484375
2024-05-10 04:01:00+02:00,ETH-USD,0.0,0.0,3036.115234375
2024-05-10 04:02:00+02:00,ETH-USD,0.0,0.0,3035.679931640625
2024-05-10 04:03:00+02:00,ETH-USD,0.0,0.0,3036.138671875
2024-05-10 04:04:00+02:00,ETH-USD,0.0,0.0,3034.725830078125
2024-05-10 04:05:00+02:00,ETH-USD,0.0,0.0,3034.298828125
2024-05-10 04:06:00+02:00,ETH-USD,0.0,0.0,3033.998779296875
2024-05-10 04:07:00+02:00,ETH-USD,0.0,0.0,3035.7197265625
2024-05-10 04:08:00+02:00,ETH-USD,0.0,0.0,3035.531005859375
2024-05-10 04:09:00+02:00,ETH-USD,0.0,0.0,3035.583740234375
2024-05-10 04:10:00+02:00,ETH-USD,0.0,0.0,3034.26171875
2024-05-10 04:11:00+02:00,ETH-USD,0.0,0.0,3034.40478515625
2024-05-10 04:12:00+02:00,ETH-USD,0.0,0.0,3034.1259765625
2024-05-10 04:13:00+02:00,ETH-USD,0.0,0.0,3034.049072265625
2024-05-10 04:15:00+02:00,ETH-USD,0.0,0.0,3032.79736328125
2024-05-10 04:16:00+02:00,ETH-USD,0.0,0.0,3032.24658203125
2024-05-10 04:18:00+02:00,ETH-USD,0.0,0.0,3032.65234375
2024-05-10 04:19:00+02:00,ETH-USD,0.0,0.0,3032.7275390625
2024-05-10 04:20:00+02:00,ETH-USD,0.0,0.0,3033.781005859375
2024-05-10 04:21:00+02:00,ETH-USD,0.0,0.0,3032.781494140625
2024-05-10 04:22:00+02:00,ETH-USD,0.0,0.0,3032.5830078125
2024-05-10 04:23:00+02:00,ETH-USD,0.0,0.0,3033.408935546875
2024-05-10 04:24:00+02:00,ETH-USD,0.0,0.0,3033.60888671875
2024-05-10 04:25:00+02:00,ETH-USD,0.0,0.0,3032.9736328125
2024-05-10 04:26:00+02:00,ETH-USD,0.0,0.0,3032.15869140625
2024-05-10 04:27:00+02:00,ETH-USD,0.0,0.0,3032.0205078125
2024-05-10 04:28:00+02:00,ETH-USD,0.0,0.0,3032.69677734375
2024-05-10 04:29:00+02:00,ETH-USD,0.0,0.0,3032.981689453125
2024-05-10 04:30:00+02:00,ETH-USD,0.0,0.0,3032.806396484375
2024-05-10 04:31:00+02:00,ETH-USD,0.0,0.0,3031.280029296875
2024-05-10 04:32:00+02:00,ETH-USD,0.0,0.0,3031.628173828125
2024-05-10 04:33:00+02:00,ETH-USD,0.0,0.0,3031.4638671875
2024-05-10 04:34:00+02:00,ETH-USD,0.0,0.0,3032.325927734375
2024-05-10 04:35:00+02:00,ETH-USD,0.0,0.0,3032.067138671875
2024-05-10 04:36:00+02:00,ETH-USD,0.0,0.0,3031.701171875
2024-05-10 04:37:00+02:00,ETH-USD,0.0,0.0,3032.129150390625
2024-05-10 04:38:00+02:00,ETH-USD,0.0,0.0,3031.83154296875
2024-05-10 04:40:00+02:00,ETH-USD,0.0,0.0,3030.07666015625
2024-05-10 04:41:00+02:00,ETH-USD,0.0,0.0,3030.72607421875
2024-05-10 04:43:00+02:00,ETH-USD,0.0,0.0,3032.150146484375
2024-05-10 04:44:00+02:00,ETH-USD,0.0,0.0,3032.287109375
2024-05-10 04:45:00+02:00,ETH-USD,0.0,0.0,3032.277099609375
2024-05-10 04:46:00+02:00,ETH-USD,0.0,0.0,3030.062255859375
2024-05-10 04:47:00+02:00,ETH-USD,0.0,0.0,3030.7265625
2024-05-10 04:48:00+02:00,ETH-USD,0.0,0.0,3030.101318359375
2024-05-10 04:49:00+02:00,ETH-USD,0.0,0.0,3030.134521484375
2024-05-10 04:50:00+02:00,ETH-USD,0.0,0.0,3030.10546875
2024-05-10 04:51:00+02:00,ETH-USD,0.0,0.0,3027.666748046875
2024-05-10 04:52:00+02:00,ETH-USD,0.0,0.0,3025.21240234375
2024-05-10 04:53:00+02:00,ETH-USD,0.0,0.0,3024.97509765625
2024-05-10 04:54:00+02:00,ETH-USD,0.0,0.0,3026.22314453125
2024-05-10 04:55:00+02:00,ETH-USD,0.0,0.0,3028.87060546875
2024-05-10 04:56:00+02:00,ETH-USD,0.0,0.0,3027.9365234375
2024-05-10 04:57:00+02:00,ETH-USD,0.0,0.0,3028.20166015625
