,symbol,position,order,close,amount,returns,creturns,strategy,cstrategy,p&l,ptf_value
2024-02-13 02:19:00+01:00,BTC-USD,0.167343355,0.0,50089.42578125,8382.13256025787,-0.0007055048392504145,99737.59840157165,-0.00011806154676890005,99893.39453810528,-60.9323345730632,99939.06766542693
2024-02-13 02:20:00+01:00,BTC-USD,0.167343355,0.0,50085.95703125,8381.552087995215,-6.925114324825139e-05,99730.69145885752,-1.1588718648747985e-05,99892.2369016611,-61.79729496037065,99938.20270503963
2024-02-13 02:21:00+01:00,BTC-USD,0.167343355,0.0,50102.49609375,8384.31979020252,0.0003302135664430017,99763.62388616796,5.525904607508732e-05,99897.7568513826,-57.67314824881691,99942.32685175119
2024-02-13 02:22:00+01:00,BTC-USD,0.167343355,0.0,50110.91796875,8385.72913502041,0.00016809292264084583,99780.39344528024,2.8129233626474602e-05,99900.56689872383,-55.57308676792178,99944.42691323208
2024-02-13 02:23:00+01:00,BTC-USD,0.167343355,0.0,50118.37890625,8386.977673333105,0.00014888846188474864,99795.24959458655,2.491549473258346e-05,99903.05597077217,-53.7126426916186,99946.28735730838
2024-02-13 02:24:00+01:00,BTC-USD,0.167343355,0.0,50118.90234375,8387.065267120488,1.0444022959703608e-05,99796.2918584646,1.7477378417738317e-06,99903.2305751236,-53.58211938993031,99946.41788061007
2024-02-13 02:25:00+01:00,BTC-USD,0.167343355,0.0,50110.21484375,8385.611471723925,-0.0001733377945992339,99778.99338932466,-2.9006928096536682e-05,99900.3326892977,-55.74841657615979,99944.25158342384
2024-02-13 02:26:00+01:00,BTC-USD,0.167343355,0.0,50104.359375,8384.631597938203,-0.00011685179894474796,99767.33403445022,-1.9554372073199585e-05,99898.37920102205,-57.208524256986195,99942.79147574301
2024-02-13 02:27:00+01:00,BTC-USD,0.167343355,0.0,50103.75390625,8384.53027676623,-1.2084153106687635e-05,99766.12843071071,-2.0222027232067816e-06,99898.17718624759,-57.35950270296894,99942.64049729703
2024-02-13 02:28:00+01:00,BTC-USD,0.167343355,0.0,50092.04296875,8382.570529194785,-0.00023373373424100192,99742.80972096183,-3.911378726456764e-05,99894.269790197,-60.279718064621775,99939.72028193538
2024-02-13 02:29:00+01:00,BTC-USD,0.167343355,0.0,50094.8359375,8383.03791395582,5.575673469222244e-05,99748.3710543409,9.330519047241394e-06,99895.20185558397,-59.58326910412085,99940.41673089589
2024-02-13 02:30:00+01:00,BTC-USD,0.167343355,0.0,50089.46875,8382.139750792656,-0.00010714053453925438,99737.68396054671,-1.7929256506292207e-05,99893.41080888617,-60.92161997367089,99939.07838002633
2024-02-13 02:31:00+01:00,BTC-USD,0.167343355,0.0,50108.76953125,8385.369608281153,0.0003853261320524586,99776.11549652711,6.448176770683146e-05,99899.8521125974,-56.10881673753789,99943.89118326246
2024-02-13 02:32:00+01:00,BTC-USD,0.167343355,0.0,50105.921875,8384.89307193039,-5.682949864143198e-05,99770.44526990705,-9.510038965625169e-06,99898.90206111113,-56.818902460901775,99943.1810975391
2024-02-13 02:33:00+01:00,BTC-USD,0.084898032,0.0711497038656245,50111.5390625,4254.371046897375,0.00011210625989505357,99781.63016137431,1.8760237647340212e-05,99900.7761882545,-55.41821210397823,99944.58178789602
2024-02-13 02:34:00+01:00,BTC-USD,0.329831912,0.2451117564654298,50133.8203125,16535.733809536312,0.00044463312077105494,99825.9963789886,3.774847691548089e-05,99904.54729039827,-48.276900952558215,99951.72309904743
2024-02-13 02:35:00+01:00,BTC-USD,0.329219132,0.0,50149.51171875,16510.178718270705,0.00031299043544239175,99857.24096106373,0.00010323423375967664,99914.8608597869,-39.40153701010745,99960.59846298989
2024-02-13 02:36:00+01:00,BTC-USD,0.818135292,0.4889161602818548,50178.78515625,41053.03504601386,0.0005837232805809191,99915.52995734729,0.00019217287176104267,99934.06178552994,-22.843912567805674,99977.15608743219
2024-02-13 02:37:00+01:00,BTC-USD,0.818135292,0.4889161602818548,50358.390625,41199.976618634435,0.003579310822108042,100273.15869502028,0.002928360504604123,100226.70474512735,166.55644281480124,100166.5564428148
2024-02-13 02:38:00+01:00,BTC-USD,1.711619386,0.8947063849337192,50284.94921875,86068.69390683806,-0.0014583747681074747,100126.92285046101,-0.001193147866751041,100107.11946616921,89.10986760550153,100089.1098676055
2024-02-13 02:39:00+01:00,BTC-USD,1.711619386,0.8947063849337192,50128.3125,85800.59146246612,-0.0031149821404531535,99815.0292740033,-0.005331663818643392,99573.38195932283,-216.21299628190366,99783.7870037181
2024-02-13 02:40:00+01:00,BTC-USD,0.054229044,-1.6551535748105446,50141.98828125,2719.1520887513907,0.0002728155121918377,99842.26036233913,0.00046695631946906875,99619.87837927963,-189.55558970144517,99810.44441029856
2024-02-13 02:41:00+01:00,BTC-USD,0.054229045,0.0,50142.2734375,2719.167602644492,5.686975322967613e-06,99842.82816281,3.0839923501612487e-07,99619.90910197393,-189.47172856177016,99810.52827143823
2024-02-13 02:42:00+01:00,BTC-USD,0.054229045,0.0,50049.2265625,2714.121759473008,-0.0018556572851842982,99657.55409135627,-0.00010063052242283713,99609.88429847728,-216.83573331599487,99783.164266684
